Chromosome,Start,End,Length (bp),Number of Covered CpGs,Mean Difference in Block (Normal to Cancer),Mean Normal Methylation in Block,Percentage of evidence from Watson Strand (Normal),Percentage of evidence from Watson Strand (Cancer),Direction of Methylation Change,Block Identifier #
chr5,173209741,173232756,23016,217,-0.076,0.782,0.515,0.531,hypo,Block:5203
chr5,173384397,173738778,354382,2810,-0.199,0.695,0.522,0.513,hypo,Block:5204
chr5,173739567,173851042,111476,1015,-0.129,0.648,0.508,0.503,hypo,Block:5205
chr5,173876291,173899456,23166,97,-0.055,0.701,0.535,0.52,hypo,Block:5206
chr5,173958596,173972645,14050,107,-0.057,0.663,0.479,0.506,hypo,Block:5207
chr5,174020919,174110722,89804,737,-0.084,0.7,0.483,0.482,hypo,Block:5208
chr5,174137456,174143013,5558,50,-0.062,0.548,0.521,0.56,hypo,Block:5209
chr5,174152402,174158654,6253,105,0.122,0.221,0.517,0.551,hyper,Block:5210
chr5,174169655,174178207,8553,91,-0.056,0.448,0.522,0.533,hypo,Block:5211
chr5,174178982,174782628,603647,3890,-0.192,0.697,0.498,0.496,hypo,Block:5212
chr5,174820357,174851089,30733,112,-0.061,0.783,0.526,0.574,hypo,Block:5213
chr5,174863490,174870715,7226,75,0.108,0.467,0.479,0.498,hyper,Block:5214
chr5,174883304,174904878,21575,169,-0.135,0.589,0.471,0.48,hypo,Block:5215
chr5,174957975,175084728,126754,1010,-0.189,0.693,0.485,0.481,hypo,Block:5216
chr5,175088015,175200305,112291,1287,-0.179,0.665,0.495,0.489,hypo,Block:5217
chr5,175200576,175213119,12544,79,-0.111,0.542,0.469,0.438,hypo,Block:5218
chr5,175227026,175274775,47750,548,-0.167,0.684,0.508,0.5,hypo,Block:5219
chr5,175281821,175287363,5543,69,-0.055,0.712,0.454,0.477,hypo,Block:5220
chr5,175310236,175337779,27544,239,-0.1,0.787,0.472,0.483,hypo,Block:5221
chr5,175404170,175412901,8732,4,-0.139,0.669,0.599,0.467,hypo,Block:5222
chr5,175427268,175448046,20779,10,-0.174,0.72,0.493,0.223,hypo,Block:5223
chr5,175462235,175497271,35037,26,-0.077,0.732,0.504,0.497,hypo,Block:5224
chr5,175510222,175531051,20830,18,-0.165,0.702,0.428,0.49,hypo,Block:5225
chr5,175544975,175625936,80962,681,-0.152,0.725,0.468,0.467,hypo,Block:5226
chr5,175626601,175636920,10320,29,-0.102,0.612,0.494,0.468,hypo,Block:5227
chr5,175805143,175813008,7866,88,-0.073,0.785,0.503,0.548,hypo,Block:5228
chr5,175819578,175830025,10448,130,-0.075,0.67,0.456,0.465,hypo,Block:5229
chr5,175854243,175868208,13966,62,-0.123,0.664,0.499,0.536,hypo,Block:5230
chr5,175938395,175950399,12005,92,-0.112,0.838,0.512,0.517,hypo,Block:5231
chr5,175973841,176001783,27943,368,-0.106,0.697,0.524,0.517,hypo,Block:5232
chr5,176005543,176018540,12998,205,-0.08,0.811,0.528,0.522,hypo,Block:5233
chr5,176063279,176072280,9002,129,-0.094,0.558,0.52,0.505,hypo,Block:5234
chr5,176086114,176106591,20478,338,-0.096,0.685,0.507,0.516,hypo,Block:5235
chr5,176125380,176170226,44847,774,-0.156,0.683,0.508,0.511,hypo,Block:5236
chr5,176170833,176229898,59066,775,-0.162,0.628,0.501,0.505,hypo,Block:5237
chr5,176245292,176330014,84723,1558,-0.171,0.642,0.512,0.511,hypo,Block:5238
chr5,176501296,176507509,6214,53,-0.063,0.709,0.434,0.479,hypo,Block:5239
chr5,176514458,176520813,6356,170,0.062,0.609,0.526,0.525,hyper,Block:5240
chr5,176534815,176541257,6443,75,-0.058,0.661,0.459,0.498,hypo,Block:5241
chr5,176564754,176570062,5309,16,0.07,0.435,0.52,0.552,hyper,Block:5242
chr5,176715230,176723296,8067,68,0.063,0.778,0.57,0.511,hyper,Block:5243
chr5,176803032,176824641,21610,302,-0.083,0.702,0.47,0.487,hypo,Block:5244
chr5,176837888,176846895,9008,68,-0.11,0.628,0.507,0.558,hypo,Block:5245
chr5,176854177,176860281,6105,130,0.089,0.554,0.455,0.482,hyper,Block:5246
chr5,176883128,176907335,24208,561,-0.096,0.598,0.477,0.48,hypo,Block:5247
chr5,176912265,176921067,8803,219,0.082,0.595,0.483,0.472,hyper,Block:5248
chr5,176933631,176943504,9874,240,0.092,0.542,0.502,0.489,hyper,Block:5249
chr5,176981874,177019044,37171,223,-0.146,0.548,0.496,0.515,hypo,Block:5250
chr5,177046538,177056463,9926,29,-0.058,0.937,0.535,0.496,hypo,Block:5251
chr5,177111331,177148999,37669,40,-0.135,0.704,0.627,0.65,hypo,Block:5252
chr5,177159956,177178649,18694,8,-0.159,0.762,0.617,0.58,hypo,Block:5253
chr5,177209679,177235633,25955,16,-0.14,0.715,0.458,0.384,hypo,Block:5254
chr5,177250475,177293748,43274,28,-0.141,0.73,0.536,0.533,hypo,Block:5255
chr5,177363548,177400241,36694,291,-0.098,0.793,0.53,0.542,hypo,Block:5256
chr5,177418684,177452359,33676,136,-0.135,0.668,0.458,0.432,hypo,Block:5257
chr5,177470454,177534050,63597,478,-0.153,0.682,0.493,0.498,hypo,Block:5258
chr5,177559145,177565395,6251,58,0.064,0.64,0.565,0.603,hyper,Block:5259
chr5,177583376,177622097,38722,361,-0.117,0.685,0.504,0.518,hypo,Block:5260
chr5,177646740,177653889,7150,91,-0.068,0.794,0.526,0.497,hypo,Block:5261
chr5,177664623,178002900,338278,5081,-0.189,0.754,0.484,0.48,hypo,Block:5262
chr5,178017711,178028243,10533,65,0.181,0.463,0.393,0.379,hyper,Block:5263
chr5,178040782,178050413,9632,67,0.089,0.608,0.355,0.405,hyper,Block:5264
chr5,178060191,178139387,79197,725,-0.18,0.786,0.506,0.512,hypo,Block:5265
chr5,178162811,178284158,121348,1230,-0.178,0.77,0.46,0.474,hypo,Block:5266
chr5,178329925,178359410,29486,152,-0.138,0.788,0.542,0.544,hypo,Block:5267
chr5,178373854,178418851,44998,559,-0.183,0.846,0.528,0.521,hypo,Block:5268
chr5,178424238,178443224,18987,139,-0.101,0.682,0.454,0.457,hypo,Block:5269
chr5,178455766,178479827,24062,138,-0.128,0.801,0.524,0.508,hypo,Block:5270
chr5,178492711,178593872,101162,1369,-0.195,0.807,0.503,0.498,hypo,Block:5271
chr5,178594713,178766342,171630,3029,-0.197,0.737,0.482,0.483,hypo,Block:5272
chr5,178777941,178949264,171324,2056,-0.196,0.746,0.499,0.499,hypo,Block:5273
chr5,178965690,178977236,11547,83,-0.077,0.512,0.475,0.44,hypo,Block:5274
chr5,179055621,179080373,24753,166,-0.124,0.813,0.485,0.518,hypo,Block:5275
chr5,179112981,179122210,9230,48,-0.111,0.65,0.499,0.488,hypo,Block:5276
chr5,179223921,179231109,7189,250,0.071,0.424,0.492,0.517,hyper,Block:5277
chr5,179250762,179261372,10611,161,-0.085,0.686,0.556,0.547,hypo,Block:5278
chr5,179385485,179402625,17141,236,-0.092,0.84,0.48,0.47,hypo,Block:5279
chr5,179466930,179473360,6431,86,-0.051,0.829,0.42,0.41,hypo,Block:5280
chr5,179488154,179493638,5485,43,0.076,0.609,0.416,0.378,hyper,Block:5281
chr5,179499431,179505318,5888,92,-0.07,0.467,0.511,0.47,hypo,Block:5282
chr5,179517689,179631431,113743,1648,-0.183,0.715,0.496,0.501,hypo,Block:5283
chr5,179639492,179650745,11254,161,-0.09,0.774,0.507,0.528,hypo,Block:5284
chr5,179727578,179775276,47699,768,-0.162,0.725,0.479,0.473,hypo,Block:5285
chr5,179786135,179899961,113827,1282,-0.149,0.75,0.521,0.525,hypo,Block:5286
chr5,179908000,179916913,8914,74,-0.075,0.784,0.549,0.529,hypo,Block:5287
chr5,180004765,180017055,12291,93,0.095,0.548,0.471,0.489,hyper,Block:5288
chr5,180022216,180042096,19881,459,-0.148,0.702,0.482,0.492,hypo,Block:5289
chr5,180046943,180072815,25873,627,-0.153,0.683,0.482,0.496,hypo,Block:5290
chr5,180077274,180082529,5256,58,0.069,0.458,0.608,0.572,hyper,Block:5291
chr5,180106684,180205635,98952,622,-0.18,0.737,0.478,0.475,hypo,Block:5292
chr5,180360545,180428563,68019,323,-0.085,0.786,0.458,0.462,hypo,Block:5293
chr5,180437147,180472751,35605,325,-0.119,0.713,0.483,0.463,hypo,Block:5294
chr5,180480982,180486134,5153,63,0.08,0.328,0.479,0.493,hyper,Block:5295
chr5,180495616,180513466,17851,182,-0.112,0.675,0.419,0.408,hypo,Block:5296
chr5,180542432,180592796,50365,605,-0.144,0.681,0.49,0.486,hypo,Block:5297
chr5,180608872,180615113,6242,166,-0.056,0.305,0.518,0.492,hypo,Block:5298
chr5,180661291,180670343,9053,130,-0.087,0.649,0.493,0.486,hypo,Block:5299
chr5,180694954,180736092,41139,108,-0.104,0.848,0.466,0.462,hypo,Block:5300
chr5,180891311,180900595,9285,2,-0.24,0.748,0.711,0.738,hypo,Block:5301
chr6,202265,288695,86431,867,-0.201,0.791,0.518,0.51,hypo,Block:5302
chr6,296538,307515,10978,165,-0.069,0.752,0.542,0.543,hypo,Block:5303
chr6,321034,332783,11750,166,-0.051,0.765,0.551,0.555,hypo,Block:5304
chr6,335476,386180,50705,916,-0.121,0.8,0.53,0.529,hypo,Block:5305
chr6,399752,476953,77202,1114,-0.213,0.792,0.516,0.524,hypo,Block:5306
chr6,590461,605302,14842,145,0.055,0.836,0.4,0.401,hyper,Block:5307
chr6,678462,690428,11967,102,0.094,0.623,0.385,0.377,hyper,Block:5308
chr6,693852,710737,16886,169,-0.083,0.549,0.506,0.496,hypo,Block:5309
chr6,711351,860737,149387,1395,-0.147,0.755,0.532,0.525,hypo,Block:5310
chr6,896834,1000933,104100,864,-0.092,0.746,0.506,0.507,hypo,Block:5311
chr6,1047821,1061323,13503,152,-0.065,0.721,0.435,0.436,hypo,Block:5312
chr6,1108990,1311005,202016,1897,-0.115,0.746,0.479,0.482,hypo,Block:5313
chr6,1317562,1373643,56082,411,-0.152,0.62,0.476,0.481,hypo,Block:5314
chr6,1400974,1555238,154265,1698,-0.182,0.734,0.494,0.494,hypo,Block:5315
chr6,1555627,1600506,44880,611,-0.12,0.72,0.478,0.472,hypo,Block:5316
chr6,1615906,1627881,11976,454,0.152,0.539,0.51,0.496,hyper,Block:5317
chr6,1810260,1835061,24802,186,0.065,0.789,0.48,0.486,hyper,Block:5318
chr6,1840062,1856124,16063,143,0.05,0.788,0.506,0.502,hyper,Block:5319
chr6,2129254,2144095,14842,109,-0.056,0.805,0.425,0.453,hypo,Block:5320
chr6,2211972,2240224,28253,176,-0.123,0.742,0.408,0.413,hypo,Block:5321
chr6,2404951,2417995,13045,109,-0.051,0.846,0.479,0.491,hypo,Block:5322
chr6,2443594,2566081,122488,1274,-0.099,0.759,0.514,0.508,hypo,Block:5323
chr6,2577633,2624179,46547,367,-0.122,0.792,0.502,0.501,hypo,Block:5324
chr6,2634971,2736454,101484,988,-0.123,0.791,0.48,0.486,hypo,Block:5325
chr6,2749161,2759493,10333,82,-0.086,0.67,0.471,0.446,hypo,Block:5326
chr6,2775143,2788331,13189,170,0.071,0.813,0.559,0.567,hyper,Block:5327
chr6,2807016,2834265,27250,175,-0.068,0.749,0.528,0.528,hypo,Block:5328
chr6,2836366,2841774,5409,68,-0.066,0.504,0.457,0.445,hypo,Block:5329
chr6,2842302,2866315,24014,226,-0.086,0.597,0.488,0.49,hypo,Block:5330
chr6,2883519,2892707,9189,77,-0.096,0.723,0.452,0.497,hypo,Block:5331
chr6,2914140,2926183,12044,108,-0.079,0.807,0.467,0.469,hypo,Block:5332
chr6,2978391,2987449,9059,64,-0.109,0.462,0.491,0.502,hypo,Block:5333
chr6,3032769,3053226,20458,137,-0.081,0.685,0.47,0.479,hypo,Block:5334
chr6,3101667,3111214,9548,71,0.063,0.843,0.562,0.535,hyper,Block:5335
chr6,3138138,3147130,8993,89,0.053,0.785,0.54,0.579,hyper,Block:5336
chr6,3163563,3219542,55980,430,-0.172,0.736,0.494,0.483,hypo,Block:5337
chr6,3235522,3256161,20640,310,-0.121,0.596,0.509,0.516,hypo,Block:5338
chr6,3343210,3354729,11520,146,0.065,0.697,0.483,0.475,hyper,Block:5339
chr6,3400134,3411614,11481,104,-0.079,0.633,0.5,0.493,hypo,Block:5340
chr6,3426557,3433426,6870,92,0.054,0.749,0.45,0.506,hyper,Block:5341
chr6,3446607,3453894,7288,58,0.082,0.415,0.463,0.472,hyper,Block:5342
chr6,3468507,3739972,271466,2613,-0.169,0.781,0.496,0.494,hypo,Block:5343
chr6,3758246,3827398,69153,817,-0.152,0.808,0.521,0.531,hypo,Block:5344
chr6,3829044,3909072,80029,883,-0.082,0.787,0.512,0.498,hypo,Block:5345
chr6,3934988,3974302,39315,296,-0.102,0.786,0.517,0.539,hypo,Block:5346
chr6,4028167,4038835,10669,65,0.145,0.672,0.554,0.549,hyper,Block:5347
chr6,4136477,4281982,145506,789,-0.204,0.762,0.535,0.528,hypo,Block:5348
chr6,4282346,4312014,29669,225,-0.187,0.699,0.498,0.489,hypo,Block:5349
chr6,4366068,4773464,407397,2922,-0.16,0.776,0.477,0.477,hypo,Block:5350
chr6,4802019,4817468,15450,135,-0.059,0.771,0.586,0.569,hypo,Block:5351
chr6,4832024,4849709,17686,74,-0.055,0.892,0.578,0.596,hypo,Block:5352
chr6,4927282,4933578,6297,57,-0.051,0.844,0.577,0.556,hypo,Block:5353
chr6,4955521,4992701,37181,319,-0.165,0.825,0.51,0.505,hypo,Block:5354
chr6,5012022,5023392,11371,48,-0.058,0.7,0.597,0.585,hypo,Block:5355
chr6,5032749,5045535,12787,79,-0.057,0.733,0.419,0.468,hypo,Block:5356
chr6,5063190,5079322,16133,146,-0.101,0.824,0.462,0.46,hypo,Block:5357
chr6,5796160,5851475,55316,403,-0.089,0.795,0.504,0.499,hypo,Block:5358
chr6,5851866,5990937,139072,860,-0.177,0.768,0.488,0.496,hypo,Block:5359
chr6,6012831,6218626,205796,1025,-0.19,0.726,0.533,0.528,hypo,Block:5360
chr6,6265681,6546341,280661,1747,-0.234,0.714,0.492,0.482,hypo,Block:5361
chr6,6547273,6664928,117656,972,-0.205,0.739,0.487,0.482,hypo,Block:5362
chr6,6668404,6698496,30093,250,-0.098,0.608,0.494,0.496,hypo,Block:5363
chr6,6724002,6731698,7697,109,-0.06,0.613,0.476,0.481,hypo,Block:5364
chr6,6808604,6826655,18052,179,-0.073,0.702,0.493,0.495,hypo,Block:5365
chr6,6850694,6862048,11355,116,-0.059,0.691,0.488,0.487,hypo,Block:5366
chr6,6881987,6889785,7799,93,-0.056,0.735,0.475,0.449,hypo,Block:5367
chr6,6936697,6944521,7825,92,0.058,0.768,0.52,0.506,hyper,Block:5368
chr6,7042954,7051421,8468,76,-0.057,0.493,0.503,0.496,hypo,Block:5369
chr6,7054195,7064698,10504,55,-0.074,0.488,0.635,0.62,hypo,Block:5370
chr6,7099750,7105247,5498,35,0.08,0.463,0.468,0.444,hyper,Block:5371
chr6,7161212,7170127,8916,92,-0.062,0.691,0.591,0.595,hypo,Block:5372
chr6,7234017,7240753,6737,76,-0.067,0.757,0.534,0.537,hypo,Block:5373
chr6,7266296,7278922,12627,146,-0.068,0.706,0.502,0.504,hypo,Block:5374
chr6,7301397,7306809,5413,35,0.066,0.63,0.35,0.423,hyper,Block:5375
chr6,7316199,7379285,63087,337,-0.085,0.787,0.498,0.485,hypo,Block:5376
chr6,7396743,7402575,5833,36,0.061,0.636,0.59,0.596,hyper,Block:5377
chr6,7431344,7444236,12893,160,-0.054,0.81,0.54,0.563,hypo,Block:5378
chr6,7457658,7492619,34962,257,-0.086,0.748,0.521,0.529,hypo,Block:5379
chr6,7547785,7557552,9768,84,-0.075,0.679,0.532,0.531,hypo,Block:5380
chr6,7618526,7717206,98681,782,-0.184,0.763,0.529,0.518,hypo,Block:5381
chr6,7719959,7726067,6109,58,0.111,0.216,0.535,0.55,hyper,Block:5382
chr6,7734910,7877889,142980,1284,-0.226,0.78,0.547,0.54,hypo,Block:5383
chr6,7903411,7909893,6483,60,0.066,0.391,0.416,0.409,hyper,Block:5384
chr6,7914089,8004683,90595,621,-0.096,0.795,0.479,0.484,hypo,Block:5385
chr6,8078769,8094337,15569,81,0.07,0.687,0.46,0.439,hyper,Block:5386
chr6,8102901,8397356,294456,1766,-0.191,0.746,0.521,0.524,hypo,Block:5387
chr6,8439673,10376290,1936618,10003,-0.203,0.723,0.494,0.495,hypo,Block:5388
chr6,10384142,10389925,5784,121,0.26,0.207,0.584,0.59,hyper,Block:5389
chr6,10391164,10404321,13158,191,0.24,0.246,0.479,0.46,hyper,Block:5390
chr6,10405211,10411372,6162,114,0.127,0.205,0.517,0.529,hyper,Block:5391
chr6,10432465,10690667,258203,2018,-0.187,0.749,0.512,0.509,hypo,Block:5392
chr6,10725224,10731080,5857,34,0.082,0.535,0.505,0.557,hyper,Block:5393
chr6,10839034,10875475,36442,196,-0.149,0.725,0.508,0.507,hypo,Block:5394
chr6,10893809,11032802,138994,812,-0.213,0.784,0.543,0.543,hypo,Block:5395
chr6,11037493,11043894,6402,46,0.13,0.371,0.488,0.401,hyper,Block:5396
chr6,11053581,11089849,36269,191,-0.197,0.717,0.502,0.501,hypo,Block:5397
chr6,11229952,11235068,5117,84,-0.052,0.469,0.47,0.488,hypo,Block:5398
chr6,11305416,11319822,14407,110,-0.058,0.822,0.513,0.542,hypo,Block:5399
chr6,11345340,11534167,188828,1106,-0.098,0.816,0.52,0.517,hypo,Block:5400
chr6,11547089,11724706,177618,1234,-0.161,0.776,0.532,0.535,hypo,Block:5401
chr6,11775274,11789537,14264,142,-0.055,0.728,0.443,0.47,hypo,Block:5402
chr6,11807423,12007451,200029,1206,-0.134,0.833,0.498,0.505,hypo,Block:5403
chr6,12026329,12032936,6608,48,0.053,0.854,0.651,0.646,hyper,Block:5404
chr6,12168930,12226615,57686,382,-0.127,0.835,0.527,0.512,hypo,Block:5405
chr6,12265908,12291016,25109,181,-0.076,0.514,0.486,0.486,hypo,Block:5406
chr6,12295537,12343602,48066,355,-0.067,0.736,0.51,0.509,hypo,Block:5407
chr6,12434893,12471114,36222,183,-0.075,0.781,0.493,0.503,hypo,Block:5408
chr6,12558451,12742112,183662,966,-0.192,0.71,0.482,0.485,hypo,Block:5409
chr6,12755974,13279219,523246,3505,-0.239,0.728,0.515,0.517,hypo,Block:5410
chr6,13331774,13387509,55736,533,-0.078,0.802,0.493,0.504,hypo,Block:5411
chr6,13402580,13418635,16056,113,-0.061,0.792,0.491,0.494,hypo,Block:5412
chr6,13456816,13476583,19768,134,-0.074,0.845,0.454,0.45,hypo,Block:5413
chr6,13501167,13569951,68785,505,-0.073,0.784,0.514,0.521,hypo,Block:5414
chr6,13716521,13770091,53571,437,-0.123,0.782,0.477,0.488,hypo,Block:5415
chr6,13820078,13873667,53590,367,-0.107,0.754,0.541,0.54,hypo,Block:5416
chr6,13874289,13925085,50797,292,-0.145,0.611,0.496,0.491,hypo,Block:5417
chr6,13925681,14111707,186027,1245,-0.217,0.746,0.525,0.53,hypo,Block:5418
chr6,14119832,14124864,5033,36,0.081,0.499,0.581,0.569,hyper,Block:5419
chr6,14139189,14194254,55066,440,-0.121,0.808,0.53,0.523,hypo,Block:5420
chr6,14216129,14536354,320226,2375,-0.122,0.822,0.494,0.498,hypo,Block:5421
chr6,14610567,14632217,21651,249,-0.06,0.761,0.461,0.435,hypo,Block:5422
chr6,14753600,14773493,19894,167,-0.068,0.779,0.442,0.447,hypo,Block:5423
chr6,14815387,14859620,44234,393,-0.069,0.827,0.466,0.461,hypo,Block:5424
chr6,14916628,14928951,12324,128,-0.051,0.797,0.467,0.478,hypo,Block:5425
chr6,14953262,15242837,289576,1829,-0.103,0.825,0.48,0.477,hypo,Block:5426
chr6,15256907,15277223,20317,161,0.082,0.752,0.61,0.598,hyper,Block:5427
chr6,15283123,15311945,28823,196,0.06,0.797,0.578,0.57,hyper,Block:5428
chr6,15385683,15396183,10501,112,0.065,0.762,0.595,0.587,hyper,Block:5429
chr6,15446905,15455481,8577,82,0.049,0.801,0.612,0.628,hyper,Block:5430
chr6,15666243,15677493,11251,78,-0.082,0.656,0.531,0.545,hypo,Block:5431
chr6,15687832,15744199,56368,296,-0.112,0.746,0.504,0.496,hypo,Block:5432
chr6,15780289,15935373,155085,943,-0.116,0.807,0.514,0.507,hypo,Block:5433
chr6,15949154,16120280,171127,1020,-0.145,0.816,0.503,0.504,hypo,Block:5434
chr6,16132236,16139533,7298,33,0.068,0.381,0.524,0.595,hyper,Block:5435
chr6,16175021,16233170,58150,573,-0.103,0.72,0.489,0.492,hypo,Block:5436
chr6,16241875,16300322,58448,596,-0.128,0.825,0.527,0.526,hypo,Block:5437
chr6,16349904,16367462,17559,174,-0.055,0.86,0.469,0.453,hypo,Block:5438
chr6,16416893,16423909,7017,55,-0.05,0.797,0.504,0.521,hypo,Block:5439
chr6,16716836,16737421,20586,156,-0.098,0.713,0.435,0.436,hypo,Block:5440
chr6,16747440,16753286,5847,60,-0.066,0.708,0.443,0.418,hypo,Block:5441
chr6,16777244,17102289,325046,1899,-0.207,0.731,0.503,0.502,hypo,Block:5442
chr6,17102632,17201552,98921,549,-0.13,0.731,0.489,0.479,hypo,Block:5443
chr6,17212214,17273814,61601,291,-0.126,0.769,0.49,0.474,hypo,Block:5444
chr6,17288500,17401879,113380,730,-0.129,0.746,0.532,0.527,hypo,Block:5445
chr6,17454688,17581052,126365,839,-0.088,0.796,0.516,0.504,hypo,Block:5446
chr6,17708849,17718875,10027,50,-0.104,0.474,0.444,0.428,hypo,Block:5447
chr6,17724506,17757401,32896,186,-0.094,0.794,0.559,0.532,hypo,Block:5448
chr6,17835391,17866251,30861,180,0.056,0.762,0.492,0.48,hyper,Block:5449
chr6,17924219,17939368,15150,90,0.058,0.794,0.44,0.431,hyper,Block:5450
chr6,17973617,17983015,9399,56,0.13,0.502,0.468,0.45,hyper,Block:5451
chr6,17997256,18012911,15656,121,-0.07,0.864,0.447,0.429,hypo,Block:5452
chr6,18027830,18042661,14832,75,-0.06,0.81,0.47,0.477,hypo,Block:5453
chr6,18060026,18094836,34811,196,-0.061,0.799,0.509,0.519,hypo,Block:5454
chr6,18132450,18142515,10066,54,-0.062,0.848,0.509,0.509,hypo,Block:5455
chr6,18233262,18246952,13691,60,-0.061,0.875,0.411,0.377,hypo,Block:5456
chr6,18251824,18258231,6408,36,-0.054,0.668,0.4,0.363,hypo,Block:5457
chr6,18266432,18277399,10968,81,-0.076,0.375,0.519,0.507,hypo,Block:5458
chr6,18295257,18386873,91617,398,-0.122,0.747,0.59,0.584,hypo,Block:5459
chr6,18391480,19691827,1300348,5508,-0.235,0.718,0.513,0.51,hypo,Block:5460
chr6,19692362,19804828,112467,612,-0.147,0.699,0.474,0.486,hypo,Block:5461
chr6,19805404,19834189,28786,147,-0.125,0.624,0.466,0.477,hypo,Block:5462
chr6,19843813,20089875,246063,1562,-0.197,0.735,0.482,0.484,hypo,Block:5463
chr6,20213171,20219579,6409,41,-0.082,0.491,0.448,0.427,hypo,Block:5464
chr6,20238738,20399076,160339,1033,-0.138,0.793,0.471,0.474,hypo,Block:5465
chr6,20407548,20415709,8162,90,-0.083,0.712,0.502,0.506,hypo,Block:5466
chr6,20494523,20532405,37883,168,-0.105,0.756,0.494,0.528,hypo,Block:5467
chr6,21006733,21028193,21461,107,-0.057,0.89,0.628,0.588,hypo,Block:5468
chr6,21239962,21353994,114033,781,-0.093,0.823,0.504,0.507,hypo,Block:5469
chr6,21387440,21441854,54415,391,-0.088,0.852,0.518,0.533,hypo,Block:5470
chr6,21609284,21659844,50561,276,-0.103,0.812,0.534,0.538,hypo,Block:5471
chr6,21670480,21738286,67807,411,-0.1,0.752,0.57,0.559,hypo,Block:5472
chr6,21759375,22631073,871699,4781,-0.153,0.77,0.55,0.553,hypo,Block:5473
chr6,22667987,22698715,30729,145,-0.067,0.786,0.512,0.548,hypo,Block:5474
chr6,22726078,24351923,1625846,7442,-0.25,0.746,0.481,0.48,hypo,Block:5475
chr6,24361392,24403062,41671,204,-0.172,0.681,0.456,0.455,hypo,Block:5476
chr6,24434840,24490221,55382,410,-0.194,0.844,0.475,0.481,hypo,Block:5477
chr6,24515667,24643567,127901,829,-0.14,0.809,0.481,0.479,hypo,Block:5478
chr6,24667445,24681104,13660,65,-0.056,0.439,0.555,0.56,hypo,Block:5479
chr6,24700147,24714968,14822,71,0.082,0.532,0.43,0.395,hyper,Block:5480
chr6,24739321,24765438,26118,135,-0.095,0.789,0.489,0.501,hypo,Block:5481
chr6,24790423,24910562,120140,708,-0.214,0.811,0.488,0.49,hypo,Block:5482
chr6,24911293,25270778,359486,1960,-0.166,0.746,0.483,0.49,hypo,Block:5483
chr6,25535218,25545577,10360,47,0.053,0.803,0.534,0.525,hyper,Block:5484
chr6,25624964,25652351,27388,130,-0.142,0.679,0.477,0.484,hypo,Block:5485
chr6,25652751,25747838,95088,634,-0.184,0.771,0.52,0.517,hypo,Block:5486
chr6,25759227,25962567,203341,890,-0.177,0.778,0.498,0.496,hypo,Block:5487
chr6,26058365,26072166,13802,84,-0.073,0.589,0.463,0.464,hypo,Block:5488
chr6,26128635,26134665,6031,32,0.111,0.429,0.442,0.388,hyper,Block:5489
chr6,26233915,26241986,8072,164,0.055,0.484,0.55,0.526,hyper,Block:5490
chr6,26291295,26305293,13999,102,-0.061,0.695,0.493,0.489,hypo,Block:5491
chr6,26311495,26320269,8775,130,-0.058,0.417,0.489,0.46,hypo,Block:5492
chr6,26502134,26512188,10055,56,0.081,0.543,0.496,0.508,hyper,Block:5493
chr6,26523646,26532149,8504,41,-0.07,0.322,0.579,0.583,hypo,Block:5494
chr6,26553083,26564097,11015,125,-0.076,0.503,0.506,0.521,hypo,Block:5495
chr6,26570531,26584064,13534,147,-0.087,0.415,0.473,0.503,hypo,Block:5496
chr6,26590529,26596020,5492,55,-0.061,0.371,0.5,0.516,hypo,Block:5497
chr6,26601993,26613974,11982,95,0.106,0.447,0.498,0.485,hyper,Block:5498
chr6,26614895,26621586,6692,29,0.089,0.436,0.505,0.497,hyper,Block:5499
chr6,26627444,26633862,6419,33,-0.068,0.789,0.574,0.574,hypo,Block:5500
chr6,26735522,26784029,48508,140,0.113,0.458,0.504,0.524,hyper,Block:5501
chr6,26894184,26987575,93392,101,-0.095,0.599,0.471,0.46,hypo,Block:5502
chr6,26988107,27064608,76502,382,-0.13,0.645,0.493,0.499,hypo,Block:5503
chr6,27226242,27231994,5753,83,0.077,0.484,0.549,0.512,hyper,Block:5504
chr6,27246425,27262405,15981,278,0.078,0.334,0.509,0.513,hyper,Block:5505
chr6,27283247,27340215,56969,283,-0.123,0.651,0.47,0.46,hypo,Block:5506
chr6,27371045,27395553,24509,170,-0.101,0.793,0.502,0.476,hypo,Block:5507
chr6,27430741,27440562,9822,55,-0.059,0.481,0.328,0.359,hypo,Block:5508
chr6,27490796,27507832,17037,101,-0.094,0.668,0.51,0.502,hypo,Block:5509
chr6,27518585,27531073,12489,167,0.067,0.385,0.504,0.486,hyper,Block:5510
chr6,27536240,27558586,22347,153,-0.077,0.574,0.425,0.425,hypo,Block:5511
chr6,27567669,27584703,17035,190,-0.08,0.492,0.52,0.537,hypo,Block:5512
chr6,27605327,27619942,14616,111,-0.068,0.652,0.476,0.462,hypo,Block:5513
chr6,27642213,27652226,10014,159,0.08,0.395,0.53,0.574,hyper,Block:5514
chr6,27684852,27714423,29572,268,-0.112,0.754,0.506,0.514,hypo,Block:5515
chr6,27737314,27759162,21849,171,-0.123,0.605,0.509,0.512,hypo,Block:5516
chr6,27817286,27828199,10914,45,-0.087,0.86,0.573,0.535,hypo,Block:5517
chr6,27852804,27858057,5254,42,-0.122,0.598,0.598,0.622,hypo,Block:5518
